Order	SMPL_A12_3	SMPL_A13_3	SMPL_A14_3	SMPL_A15_3	SMPL_A16_3	SMPL_A17_2	SMPL_A18_2	SMPL_A19_2	SMPL_A20_4	SMPL_A21_2	SMPL_A22_2	SMPL_A23_1	SMPL_A24_4	SMPL_A25_2	SMPL_A33_1	SMPL_A36_1	SMPL_A3_2	SMPL_A41_1	SMPL_A42_4	SMPL_A44_1	SMPL_A47_4	SMPL_A48_1	SMPL_A52_3	SMPL_A53_4	SMPL_A54_4	SMPL_A56_3	SMPL_A57_4	SMPL_A58_4	SMPL_A59_4	SMPL_A5_1	SMPL_A7_3	SMPL_A9_2
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales	0	0	20	0	0	4	0	44	0	0	0	0	0	0	5	0	0	23	0	0	0	0	0	1	23	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales	0	2	3	2	1	0	1	1	1	0	1	3	16	1	0	0	0	1	1	2	1	0	0	0	3	0	0	1	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales	0	2	4	88	30	0	3	86	0	0	1572	0	0	1	0	232	7	0	0	0	22	15	1	50	66	4	588	264	544	66	2	1
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales	0	7	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Micrococcales	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales	4	0	111	1	3	34	0	15	96	9	1	12	80	0	4	43	1	59	8	1	23	4	3	5	70	1	15	112	36	6	1	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales	15876	23960	17474	33802	23107	9026	27324	10401	20939	17008	17687	17975	19116	30087	14525	20697	20840	21922	19159	21772	23782	16144	14261	20072	11891	18996	21179	17127	8906	14517	14254	27126
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales	0	0	0	0	0	0	0	0	27	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0
Bacteria;Cyanobacteria;Melainabacteria;Gastranaerophilales	0	1	0	0	0	172	5796	18	5	0	1	3080	1	0	458	1191	0	515	0	2	6	542	0	6	65	2	5	72	148	1	506	0
