OTU	SMPL_A22	SMPL_A33	SMPL_A9	SMPL_A12	SMPL_A13	SMPL_A15	SMPL_A16	SMPL_A17	SMPL_A18	SMPL_A19	SMPL_A20	SMPL_A21	SMPL_A23	SMPL_A24	SMPL_A25	SMPL_A36	SMPL_A5	SMPL_A7	SMPL_A14	SMPL_A41	SMPL_A42	SMPL_A44	SMPL_A47	SMPL_A48	SMPL_A52	SMPL_A53	SMPL_A54	SMPL_A56	SMPL_A57	SMPL_A58	SMPL_A59	SMPL_A3
OTU_218	0	0	0	2	0	1	0	1	0	0	3	0	0	1	0	0	0	0	0	3	0	113	0	0	0	0	1	0	0	0	0	0
OTU_219	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0
OTU_220	0	4	1	13	0	0	0	2	0	59	0	0	0	0	0	0	0	0	2	19	0	0	2	0	0	0	2	3	0	0	14	3
OTU_221	0	3	0	0	0	0	0	0	0	2	23	0	0	0	0	12	1	0	42	6	0	0	0	0	1	0	3	0	0	21	6	2
OTU_222	0	5	0	0	0	0	0	4	0	44	0	0	0	0	0	0	0	0	20	23	0	0	0	0	0	1	23	0	0	0	0	0
OTU_223	0	112	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0
OTU_224	0	1	2	17	0	0	0	0	0	0	0	0	0	0	0	0	0	4	54	24	0	0	0	9	9	0	0	0	0	0	0	0
OTU_225	0	2	0	7	0	0	0	0	0	10	3	0	0	0	0	2	3	0	8	10	11	9	1	2	3	1	6	0	12	20	9	1
OTU_226	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	7	1	0	15	9	0	36	0	15	0	0	1	0	0	10	0	8
OTU_227	0	0	0	0	0	85	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	1	0	0
OTU_228	13	0	0	3	10	4	7	0	6	0	0	3	21	1	0	0	0	2	1	0	12	0	18	0	12	0	0	0	0	3	1	0
OTU_229	0	0	0	0	0	69	0	0	0	1	7	0	0	0	3	3	5	2	0	0	2	7	0	2	0	3	6	0	0	6	0	0
OTU_230	0	35	9	0	4	0	0	1	0	15	0	1	4	0	0	1	0	7	0	18	1	4	3	0	0	0	5	5	0	0	0	0
OTU_231	0	0	3	0	7	1	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	1	0	0	32	0	1	0
OTU_232	0	1	5	1	4	1	4	2	0	0	5	2	0	16	5	6	1	0	9	6	3	3	1	2	3	0	2	6	6	8	4	1
OTU_233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_234	0	7	0	9	0	0	0	1	0	33	0	0	0	0	0	0	1	0	10	34	0	0	0	4	0	0	0	0	1	0	6	0
OTU_235	0	0	0	0	0	0	0	0	0	7	12	0	0	68	0	2	0	0	7	0	0	0	0	0	0	1	3	0	0	2	4	0
OTU_236	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	5	34	0	0
OTU_237	12	1	0	1	3	11	7	0	0	0	0	9	6	1	0	2	2	3	0	0	14	1	2	0	20	4	0	0	1	3	0	0
OTU_238	0	0	0	0	0	0	0	0	0	1	82	0	3	0	0	15	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
OTU_239	0	0	3	0	1	11	0	26	0	23	2	0	0	3	0	1	0	1	1	1	0	2	15	5	5	1	1	0	0	1	0	0
OTU_240	0	3	0	17	0	0	0	8	4	22	0	1	0	2	7	0	1	0	0	8	0	2	3	7	0	5	0	0	3	3	6	0
OTU_241	0	7	0	5	0	0	1	15	0	13	7	2	0	0	0	5	1	0	1	11	0	5	0	2	2	1	5	0	1	10	7	0
OTU_242	0	0	0	1	1	0	0	1	0	5	8	0	0	24	9	0	1	1	4	8	1	12	0	2	1	0	6	2	3	7	1	2
OTU_243	0	21	0	14	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	24	0	12	1	0	2	0	0	0	6	0	14
OTU_244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0
OTU_245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	23	0	0	0	0	0
OTU_246	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0
OTU_247	1	1	1	6	0	0	3	2	0	4	12	7	15	10	6	0	1	1	1	2	1	3	1	1	5	1	0	1	0	7	0	0
OTU_248	0	0	0	3	3	0	0	0	0	22	3	0	0	26	0	0	0	11	11	3	0	2	0	0	2	0	2	0	0	3	0	2
OTU_249	0	4	0	0	0	0	0	0	0	6	16	0	0	0	0	1	1	0	11	2	0	15	0	0	4	0	21	1	0	0	10	0
OTU_250	87	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
OTU_251	0	8	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	19	0	10	0	0	1	0	42	0	0	4	0	0
OTU_252	0	2	0	0	0	0	0	0	0	3	10	0	0	0	0	2	0	14	9	35	4	0	0	0	1	1	1	0	2	2	4	0
OTU_253	39	1	0	0	1	6	0	0	5	0	0	4	0	4	0	2	0	0	0	1	14	0	0	0	9	0	0	3	0	0	0	0
OTU_254	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	42	0
OTU_255	0	50	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	33	0	0	0	0	0	0	0	0	0	1
OTU_256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	1	0	23	9	0
OTU_257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	10	42	0	0	0	0	0	0	0	0	0	0	0
OTU_258	0	16	0	2	0	0	0	0	0	16	0	0	0	12	0	28	0	0	1	1	0	0	0	0	1	5	0	0	3	0	1	0
OTU_259	0	0	4	0	0	1	0	0	0	0	0	5	0	1	0	0	1	1	0	1	70	1	0	0	0	0	0	0	0	0	0	0
OTU_260	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_261	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0
OTU_262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0
OTU_263	0	8	0	0	0	0	0	0	0	15	0	0	0	0	0	25	0	0	0	18	0	0	0	0	0	0	11	0	0	0	2	0
OTU_264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	1	0	0	0	4	0	0	0
OTU_265	0	0	0	75	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_266	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_267	0	0	0	8	0	0	0	0	0	13	0	0	0	0	0	0	0	0	1	0	0	0	0	0	27	0	6	1	1	0	17	0
OTU_268	0	18	0	0	0	0	0	0	0	2	0	0	0	18	0	9	0	0	1	9	0	0	0	0	1	0	5	0	3	2	3	0
OTU_269	0	0	0	14	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0	18	0	9	8	12	0
OTU_270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0
OTU_271	0	12	0	2	0	0	0	0	0	22	0	0	0	0	0	0	4	0	0	0	0	0	5	0	0	0	17	0	0	0	3	6
OTU_272	0	1	4	8	1	14	0	0	0	1	5	0	5	4	1	2	1	1	4	1	2	0	0	0	4	1	2	4	0	1	0	2
OTU_273	0	3	0	25	0	2	0	0	0	1	15	0	0	0	0	5	0	0	0	2	8	0	0	0	0	0	3	0	0	2	0	0
OTU_274	0	0	0	0	4	0	0	0	0	9	0	1	0	0	0	2	0	29	0	0	0	0	5	1	0	0	4	0	4	0	4	2
OTU_275	0	7	0	3	0	36	1	1	0	0	15	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_276	0	1	0	3	0	0	3	0	0	4	4	1	0	2	0	1	0	1	11	4	3	0	0	0	0	0	6	0	1	20	0	0
OTU_277	0	0	0	1	0	0	0	0	0	4	2	0	0	11	0	6	1	4	12	5	0	0	0	0	0	0	2	1	0	15	1	0
OTU_278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	34	0	0	0	0	0	0	0	0	0	4	0	19
OTU_279	11	1	0	0	12	2	0	0	4	0	0	0	4	5	2	0	1	0	2	0	0	6	3	0	4	2	0	0	0	1	3	1
OTU_280	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_281	0	0	0	0	0	0	0	2	0	46	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	6	0	0	1	2	0
OTU_282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	25	0	0	0	0	0	0	0	0	0	10	0	0	0	24	0
OTU_283	34	0	0	0	0	0	0	0	13	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	3	2	0	4	0	0	0	0
OTU_284	0	9	4	4	1	0	0	1	0	22	0	0	0	0	0	0	1	1	0	0	0	1	2	1	1	2	2	0	0	6	3	0
