OTU	SMPL_A22	SMPL_A33	SMPL_A9	SMPL_A12	SMPL_A13	SMPL_A15	SMPL_A16	SMPL_A17	SMPL_A18	SMPL_A19	SMPL_A20	SMPL_A21	SMPL_A23	SMPL_A24	SMPL_A25	SMPL_A36	SMPL_A5	SMPL_A7	SMPL_A14	SMPL_A41	SMPL_A42	SMPL_A44	SMPL_A47	SMPL_A48	SMPL_A52	SMPL_A53	SMPL_A54	SMPL_A56	SMPL_A57	SMPL_A58	SMPL_A59	SMPL_A3
OTU_353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0
OTU_354	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	1	0	8	0	0	0	0	9	0	4	0	5	0
OTU_355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0
OTU_356	0	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	15	0	0	2	1	0
OTU_357	0	2	0	6	1	0	0	0	0	0	5	0	0	0	0	0	0	3	0	0	0	3	0	0	6	0	0	2	2	0	4	0
OTU_358	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_359	5	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
OTU_360	0	0	0	0	1	0	0	1	0	0	0	0	0	6	0	0	1	0	0	1	1	13	0	0	0	1	0	8	1	0	0	0
OTU_361	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	21	0	0	1	0	0
OTU_362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_363	0	0	3	0	4	5	0	0	1	0	2	2	1	0	0	4	0	1	0	0	0	0	0	2	3	0	0	4	0	0	0	1
OTU_364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0
OTU_365	0	1	1	1	2	1	0	1	0	1	0	0	2	10	0	0	0	0	0	3	0	0	0	1	1	0	7	0	0	0	0	0
OTU_366	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_367	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	16	0	0	0	0	0	0	8	0	0	0	0	0
OTU_368	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0
OTU_369	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	6	0	3	0	0	0
OTU_370	0	0	0	0	2	2	0	0	1	0	1	0	1	13	1	0	0	0	3	0	0	1	1	0	0	0	2	0	0	1	0	0
OTU_371	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	3	0	0	0	11	0	0	0	1	0	0	2	0	0	2	2	0
OTU_372	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0
OTU_373	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_374	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_375	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0
OTU_376	0	0	0	0	0	0	0	6	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	8	0
OTU_377	0	1	0	0	0	0	0	0	0	17	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0
OTU_378	0	0	0	3	0	0	7	0	5	5	0	0	0	2	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_379	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	2	0	0	0	1	0
OTU_380	0	2	0	1	0	0	0	0	0	3	1	0	0	0	0	1	1	0	0	6	0	1	0	0	5	0	1	0	0	5	0	0
OTU_381	0	0	0	0	0	0	0	1	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_382	0	0	0	0	1	0	0	5	0	1	1	0	0	0	2	0	0	0	0	7	0	0	0	0	0	3	2	0	0	0	0	4
OTU_383	0	0	0	0	7	0	0	0	0	1	0	0	1	7	0	0	0	0	1	2	1	4	0	0	0	0	1	0	0	0	0	0
OTU_384	0	0	0	0	1	0	0	0	0	0	1	0	0	15	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	5	0	0
OTU_385	0	3	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_386	0	1	0	0	18	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0
OTU_388	1	0	0	0	1	0	2	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	1	8	1	1	0	0	2	0
OTU_389	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	0	4	0	1	4
OTU_390	0	0	3	0	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0
OTU_391	0	1	0	2	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	3	0	7	0	1	0	0	1	0	2	0	0	1
OTU_392	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_393	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	9	0	0	0	1	0	0	0	5	0	2	0	0	1
OTU_394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0
OTU_395	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	8
OTU_396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0
OTU_397	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_398	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
OTU_399	1	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
OTU_400	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_401	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	1
OTU_402	0	0	0	1	3	0	0	0	0	2	2	0	0	0	0	2	0	0	1	1	0	2	0	0	1	0	4	0	1	0	1	0
OTU_403	0	0	0	0	13	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	2	0	0
OTU_404	0	7	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	1	1	0	1	3	0
OTU_405	0	6	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	5	0	0	0	2	0	0	0	0	0	0	0	0
OTU_406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_407	0	0	0	19	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_408	0	0	0	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	4	0	0
OTU_409	0	0	0	0	13	0	5	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1	2	0	0	0
OTU_411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	15
OTU_412	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_413	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU_414	0	0	0	0	0	0	10	0	1	0	0	0	4	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0
OTU_415	0	0	0	0	0	0	0	6	1	0	0	3	0	0	2	0	0	0	0	2	0	1	0	1	0	0	0	0	0	2	1	0
OTU_416	0	1	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	3	2	1
OTU_417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
OTU_418	0	0	0	0	0	0	2	0	0	0	0	0	0	11	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	3	0	0
OTU_419	0	0	0	0	0	0	0	3	0	0	5	1	0	0	2	1	0	0	2	0	0	0	0	1	0	0	3	0	0	0	0	0
OTU_420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
OTU_421	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	9	0	0	1	0	0	0	1	3	0	0	2	0	0
OTU_422	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
OTU_423	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0	0	1	4	0
OTU_424	0	0	0	0	2	0	0	0	0	0	3	0	0	3	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	2	0	0
OTU_425	2	0	1	0	0	0	5	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	3	0	0	1	0	0	0
OTU_426	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_427	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	2
OTU_428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
OTU_429	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	5	6	0	0	0	1	0	0	0	0	0	0
OTU_430	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
OTU_431	0	15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_432	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	0	0	0	0	0	0	0
OTU_433	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_434	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
OTU_435	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_436	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	4	0	1	0	2	0	0	3	0	0	0	1	0
OTU_437	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_438	0	0	0	0	0	0	0	0	3	1	2	0	0	0	1	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	3	0
OTU_439	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
OTU_440	1	0	0	0	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
OTU_441	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_442	0	0	0	0	1	1	0	1	1	0	3	1	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0
OTU_443	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	5	0	0	4	0	0
OTU_444	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	6	0
OTU_445	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
OTU_447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	7	0	3	0	0	0
OTU_448	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_449	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	3	0
OTU_450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
OTU_451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	4	7	0
OTU_452	0	1	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	3	0	2	0	1	0	0	0	0	0	0	0	2	0	0
OTU_453	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	4	1	0	0	0	0	0	0	2	0	1	0	1	0
OTU_454	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	2	0	0	2	2
OTU_455	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	2	0	0	0	1	2
OTU_456	7	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
OTU_457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	3
OTU_458	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_459	0	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU_460	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0
OTU_461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
OTU_462	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	3
OTU_463	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	1
OTU_464	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	4	0	0	3	0	0	0	1	1
OTU_465	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU_466	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	1	0
OTU_467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0
OTU_468	2	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0
OTU_469	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	1	2	0	0	0	1	0	0	0	0	0	0	0	0
OTU_470	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	1	0	0	0	0
OTU_471	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0	0	0	0	0	0	0	1	2	0	0
OTU_473	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
OTU_474	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	1	0	0	0	0
OTU_475	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_476	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	1	0	0	0	0	0
OTU_477	2	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	2	0	0	0	0	0
OTU_478	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	1	0	0
OTU_479	0	1	0	0	0	0	0	0	0	1	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0
OTU_480	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4
OTU_481	0	0	3	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0
OTU_482	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	4	0
OTU_483	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
OTU_484	0	0	1	0	0	0	0	0	0	1	0	2	0	2	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	2	3	1	0
OTU_486	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0
OTU_487	1	0	0	0	1	1	0	0	0	0	0	0	1	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0
OTU_488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	1	0	1	0	0	3	0	0	0
OTU_489	1	0	0	0	0	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
OTU_490	0	0	1	0	0	0	0	0	1	1	0	0	0	2	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
OTU_491	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
OTU_492	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_493	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
OTU_494	3	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
OTU_495	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_496	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	3
OTU_497	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
OTU_498	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0
OTU_500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	1	1	0
OTU_501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1	0
OTU_502	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2
OTU_503	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_504	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	1	0	0
OTU_505	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3
OTU_506	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0
OTU_507	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_508	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
OTU_509	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0
OTU_510	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0
OTU_511	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
OTU_513	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0
OTU_514	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
OTU_516	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_517	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
OTU_518	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0
OTU_519	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	5	0	0	0	1	0
OTU_521	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	2	0
OTU_522	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_523	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0
OTU_524	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2
OTU_525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_526	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_527	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	3
OTU_528	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0
OTU_529	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_530	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3
OTU_531	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0
OTU_532	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU_533	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU_534	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0
OTU_535	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
OTU_536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0
OTU_537	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
OTU_538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
OTU_539	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0
OTU_540	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0
OTU_541	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_542	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
OTU_544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0
OTU_545	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_546	0	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_547	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0
OTU_548	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	2	0	0	0	0
