Family	SMPL_A12	SMPL_A13	SMPL_A14	SMPL_A15	SMPL_A16	SMPL_A17	SMPL_A18	SMPL_A19	SMPL_A20	SMPL_A21	SMPL_A22	SMPL_A23	SMPL_A24	SMPL_A25	SMPL_A33	SMPL_A36	SMPL_A3	SMPL_A41	SMPL_A42	SMPL_A44	SMPL_A47	SMPL_A48	SMPL_A52	SMPL_A53	SMPL_A54	SMPL_A56	SMPL_A57	SMPL_A58	SMPL_A59	SMPL_A5	SMPL_A7	SMPL_A9
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae	1	0	0	3	3	0	1	1	0	0	1052	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae	0	0	0	0	5	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	0	1	0	3	0	0	1	0	0	1	0	1
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae	0	12	2	2	0	0	4	0	0	0	11	4	5	2	1	0	1	0	0	6	3	0	4	2	0	0	0	1	3	1	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae	1	1	0	7	24	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	1	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	0	2	2	14	180	28	0	7	0	1	1	3	10	10	0	0	34	0	0	4	1	0	0	15	2	3	0	8	1	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae	0	13	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	2	0	3	1	3	4	0	11	0	1	0	2	5	0	0	1	1	0	1	4	2	0	29	3	2	14	0	4	2	4	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;?	0	0	41	0	0	9	0	6	0	0	0	0	0	0	60	1	0	37	0	18	0	67	1	0	42	0	3	49	2	202	7	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae	155	37	1840	0	2	1582	45	2024	53	0	0	1	40	12	581	762	2475	331	117	72	13	1337	533	327	836	9	129	274	1462	265	2719	3
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1	0	15	10	2	16	1	67	4	0	0	265	0	15	187	344	5	19	0	1	0	44	739	68	74	7	3	17	1	13	27	15	384
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group	5	3	112	1	0	0	0	463	3	0	0	0	26	82	1423	63	212	4370	0	8	8	138	99	6	756	0	40	62	61	460	114	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Defluviitaleaceae	4	0	19	0	0	0	0	11	22	0	0	0	68	0	2	4	0	36	8	0	0	0	1	2	9	0	2	8	8	0	14	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae	3	6	2	36	1	1	2	0	15	0	0	0	0	2	7	1	0	0	5	6	0	0	0	1	0	3	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI	0	0	1	0	0	1	0	1	1	2	2	0	0	0	0	2	4	0	0	1	0	0	1	1	11	0	0	0	0	0	0	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII	45	14	56	278	5	40	0	104	70	10	0	0	43	7	11	39	23	52	64	61	7	34	6	3	58	0	42	74	46	19	11	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	1840	5417	2819	4920	1405	8462	3331	2082	4754	2507	1591	3614	6961	3502	2540	3507	2244	6247	4465	2484	5060	4736	3428	3286	8714	1013	3649	4307	6208	2794	5223	7145
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae	1	0	6	125	1	0	0	34	11	0	0	0	0	0	45	4	0	28	0	0	2	74	2	0	11	35	4	3	4	3	4	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae	25	224	44	384	220	5	42	3	5	2	2113	15	152	73	2	1	38	32	30	115	341	54	35	391	7	17	171	21	45	118	0	390
