Genus	SMPL_A12	SMPL_A13	SMPL_A14	SMPL_A15	SMPL_A16	SMPL_A17	SMPL_A18	SMPL_A19	SMPL_A20	SMPL_A21	SMPL_A22	SMPL_A23	SMPL_A24	SMPL_A25	SMPL_A33	SMPL_A36	SMPL_A3	SMPL_A41	SMPL_A42	SMPL_A44	SMPL_A47	SMPL_A48	SMPL_A52	SMPL_A53	SMPL_A54	SMPL_A56	SMPL_A57	SMPL_A58	SMPL_A59	SMPL_A5	SMPL_A7	SMPL_A9
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	0	0	3	0	0	0	0	2	0	0	0	0	0	0	112	1	0	0	0	1	0	1	1	0	8	1	3	0	1	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	2	0	0	0	1183	2	339	192	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	1	0	0	0	0	0	0	4	0	0	5	0	3	0	0	2	8	0	0	0	1	0	0	0	22	0	0	0	1	0	2	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 2	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1659	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 7	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1	2	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 9	4012	895	0	3	2	0	5	0	0	1	2	2	256	0	0	79	0	7	5	0	0	13	3	2	0	0	13556	11	7	4130	4	2
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	870	2040	1321	3227	5	1624	3	705	285	929	1	8	12	1	1016	1817	985	2281	1396	117	657	2657	668	1559	2162	436	804	1391	1562	357	422	64
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides	691	1753	709	1917	1840	79	0	2168	32	1345	1	1	0	600	1788	840	501	2799	1746	1	2234	1093	614	1068	1225	1396	1376	370	255	1556	532	0
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;?	0	0	0	0	0	0	0	0	27	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0
