Genus	SMPL_A12	SMPL_A13	SMPL_A14	SMPL_A15	SMPL_A16	SMPL_A17	SMPL_A18	SMPL_A19	SMPL_A20	SMPL_A21	SMPL_A22	SMPL_A23	SMPL_A24	SMPL_A25	SMPL_A33	SMPL_A36	SMPL_A3	SMPL_A41	SMPL_A42	SMPL_A44	SMPL_A47	SMPL_A48	SMPL_A52	SMPL_A53	SMPL_A54	SMPL_A56	SMPL_A57	SMPL_A58	SMPL_A59	SMPL_A5	SMPL_A7	SMPL_A9
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter	56	0	19	3	12	16	0	99	59	56	3	223	295	22	51	47	21	121	24	69	21	17	38	13	31	68	29	68	34	15	12	42
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Phocea	6	1	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	6	0	0	2	2	0	4	0	3	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium	11	0	34	0	0	0	0	38	1	0	0	3	2	0	22	3	2	18	0	5	1	2	1	0	67	10	4	17	23	9	1	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 1	12	0	0	0	0	0	0	113	0	0	0	0	0	0	4	2	0	5	0	25	0	0	0	0	7	0	0	50	0	1	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 5	51	85	50	91	39	38	15	63	180	26	11	13	39	8	61	51	7	83	76	172	13	2	22	22	78	29	23	58	56	23	26	41
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 6	1	0	43	0	1	1504	0	318	1	344	0	184	66	0	364	97	121	434	354	843	38	388	22	4	398	1	27	91	432	2926	174	118
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 9	3	2	0	0	0	4	0	54	20	3	0	7	0	14	4	10	7	21	13	9	14	5	21	24	16	12	32	11	94	9	10	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae NK4A214 group	200	226	178	1	2	10	1	111	376	0	0	0	0	4	279	56	32	59	200	3	24	17	1	19	111	1	231	94	46	16	113	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-002	2203	2	1620	18	65	1497	182	2197	1973	768	31	516	1050	932	494	336	985	3184	663	1023	536	1610	260	312	1037	92	986	1205	1146	368	505	86
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-003	196	0	91	12	0	305	4	238	0	19	0	0	111	0	10	0	126	51	120	0	367	317	2	7	7	1	187	3	206	12	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-005	678	5	533	1566	5	688	0	744	705	577	0	0	3	281	106	244	348	465	62	88	99	384	73	6	2077	2	119	348	262	63	115	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-009	0	3	0	0	0	0	0	14	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	3	0	0	0	3	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-010	0	1	80	0	0	3	0	178	23	0	0	0	0	0	167	42	72	191	0	23	5	464	3	2	320	0	27	45	210	59	8	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-011	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	21	0	0	1	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-013	0	4	5	0	0	0	44	140	0	12	0	45	16	233	6	112	9	179	1027	71	43	134	16	51	158	0	12	31	48	64	8	180
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-014	4	0	1956	0	0	1592	188	1997	0	1	1	1	9	0	1066	761	518	1153	0	84	9	229	38	3	176	14	1	427	115	734	160	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 1	125	0	260	1	3	622	43	695	20	159	1	7	2	1659	59	354	1876	1945	1590	181	114	435	353	2274	720	17	116	286	419	44	38	27
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 2	62	1	6072	0	1	1942	0	659	2174	243	0	694	31	1767	105	702	147	4	1	0	1124	331	955	976	1358	8	141	1164	1165	65	139	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum	3	2	0	1	0	57	10	26	6	24	0	1	9	29	3	17	8	47	6	2	0	12	1	11	4	0	16	9	14	1	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;UBA1819	23	13	65	1297	7	4	11	14	1352	6	2	0	115	34	11	12	10	42	4	56	4	11	4	1	43	88	1	20	12	3	26	9
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;[Eubacterium] coprostanoligenes group	167	0	186	1	0	285	89	387	77	540	1	0	1954	167	55	220	192	510	4	1273	229	195	17	140	186	0	722	179	1369	54	286	0
Bacteria;Firmicutes;Clostridia;DTU014;?;?	0	0	28	0	0	0	0	9	0	0	0	0	0	0	54	13	0	118	0	2	0	0	10	0	33	0	0	0	44	0	3	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;?	6	130	3	1	0	5	0	0	2	0	0	0	0	0	31	0	0	0	0	24	17	0	1	0	71	2	8	34	0	0	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Dielma	0	16	16	137	1	0	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	1	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium	4	330	5	527	723	1	2	3	3	48	1	11	183	1	1	23	3	45	1	75	2	17	9	0	0	37	12	6	0	3	2	58
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-003	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	1	0	0	0	0	2	0	198	4	0	1	0	15	0	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalitalea	0	906	38	59	0	3	0	8	535	1	0	85	136	0	4	0	0	5	0	94	0	4	22	0	0	80	0	0	1	0	1	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Firmicutes bacterium CAG:345	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemanella	413	0	0	1	1	0	0	0	0	0	0	0	0	0	0	86	0	100	0	0	0	0	0	1	0	0	157	0	0	0	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemania	10	0	2	34	0	15	0	4	38	0	0	15	1	13	2	6	1	4	11	19	1	5	8	0	13	8	5	3	5	0	1	24
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Phascolarctobacterium	0	0	0	0	0	0	0	4	1146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Allisonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Dialister	75	0	0	0	0	0	1	0	0	0	5	26	1	0	0	0	0	0	0	0	0	4	0	1	0	0	1079	1	0	0	0	0
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	3
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Selenomonas 3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella	8	0	2	4	253	0	44	3	0	9	168	155	180	22	1	7	45	4	68	2	38	5	131	98	6	5	8	7	27	4	9	132
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Cetobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	0	0	0	2	6	2	4	1	0	0	15	0	25	0	2454	1	0	0	0	0	2	0	3	1	9	0	0	2	0	0	0	8
Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae;Victivallis	0	0	67	0	0	1	0	260	0	0	0	0	0	0	179	0	0	0	4	0	0	1	45	0	193	13	0	12	219	0	10	0
Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;vadinBE97;uncultured rumen bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	113	0	0	0	0	0	0	0	0	11	12	0	0	168	0	21	0
Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae;?	2	2	6	1	23	3	10	2	2	1	3	0	26	18	1	0	2	1	0	1	2	2	0	12	1	0	0	9	1	15	0	1
Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae;Candidatus Saccharimonas	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0
Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae;uncultured Candidatus Saccharibacteria bacterium	3	0	4	0	9	0	5	5	0	0	0	0	13	0	0	1	0	0	0	1	1	0	0	1	0	0	0	3	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;?;?	0	4	1	0	0	256	0	1	1	36	0	2251	0	0	2896	273	3215	19	0	357	362	538	2	1123	67	2923	1	54	855	0	1854	564
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;?	0	0	0	0	0	6	0	0	0	0	0	0	4	1	0	1	0	0	0	0	0	0	0	0	7	0	0	0	8	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;?	8	0	1	0	0	0	0	13	0	106	0	0	0	0	0	0	0	0	0	0	0	0	27	0	6	119	1	0	17	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Bilophila	0	250	82	1	1	0	0	76	116	111	57	247	376	112	31	114	35	69	55	127	78	66	110	44	91	113	115	65	54	3	90	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio	0	0	44	0	0	0	0	0	0	0	92	0	784	0	168	0	0	0	0	0	0	0	0	0	172	58	0	0	376	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Acidovorax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Comamonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Delftia	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Lautropia	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Oxalobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Parasutterella	0	0	11	593	3	0	1	47	2157	23	0	1083	994	0	489	27	24	13	2	505	16	1825	5	94	15	21	42	25	20	0	24	1464
Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Sutterella	5	5	58	0	9	0	0	3	0	0	6	0	0	0	399	1	5	0	2	1	2	0	212	87	47	61	1261	1	54	134	8	0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;?	0	10	0	23	73	0	0	0	0	0	15	0	0	0	0	0	1	11	0	0	44	0	10	0	3	0	4	0	2	0	0	344
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Citrobacter	0	9	0	2	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	1	2	0	32	0	1	0	0	3
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella	522	2046	2556	6064	1304	56	49	343	1313	45	2141	2	203	21	0	73	1568	31	468	16	0	148	18	97	19	25	38	10	36	1	1162	139
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Klebsiella	0	24	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	22	0	0	0	0	0	0	0	2	0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Morganella	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Providencia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	2	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus	0	0	0	2	0	0	30	0	0	0	310	40	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter	0	0	0	0	1	0	13	0	0	0	41	5	2	0	0	0	0	1	0	0	0	0	5	2	0	4	1	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Anaeroplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1419	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Bacteria;Tenericutes;Mollicutes;Izimaplasmatales;uncultured organism;?	0	0	0	0	0	11	0	1581	0	0	0	0	0	0	323	44	107	4351	0	0	0	0	0	6	516	0	0	2	142	185	578	0
Bacteria;Tenericutes;Mollicutes;Mollicutes RF39;?;?	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	14	18	0	0	0	0	0	0	12	0	0	0	0	7	0	0
Bacteria;Tenericutes;Mollicutes;Mollicutes RF39;gut metagenome;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	12	19	133	0	29	0	0	0	0	0	0	0	4	0	0	0	0
Bacteria;Tenericutes;Mollicutes;Mollicutes RF39;human gut metagenome;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	10	42	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Tenericutes;Mollicutes;Mollicutes RF39;uncultured rumen bacterium;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Opitutales;Puniceicoccaceae;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	0	0	0	0	0	0	532	0	4	0	0	0	0	0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia	0	4019	0	48	552	8	0	475	0	3	0	4	4837	1	206	98	1180	227	3	3827	38	24	2	3	500	6	0	1	242	178	812	1
